Survey Response,Journal Name,Other Journal,Date,Professional Status,Gender (optional),Race/Ethnic Background (optional),Review Time in Months,Initial Verdict,Sets of Reviewer Comments Initially Provided,Quality of Referee Comments,Overall Experience with Editors,Revise and Resubmit Verdict (also Conditional Acceptance),Time from Acceptance to Publication,Field 13,Journals,Acceptances,Rejections,Conditional Acceptances,Revise and Resubmits,Overall Acceptance,Initial withdrawals,Revise and Resubmit Withdrawals
Logique et Analyse2010-01-28T05:00:00.000Z,Logique et Analyse,,1/28/2010 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Revise and Resubmit,1.0,5.0,5.0,Accept,3.0,,,,,,Revise and Resubmit,Accept,,
Mind2010-01-28T05:00:00.000Z,Mind,,1/28/2010 12:00am,,Male,,2.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-01-28T05:00:00.000Z,Philosophical Quarterly,,1/28/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,1.75,Reject,,,4.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-01-29T05:00:00.000Z,Australasian Journal of Philosophy,,1/29/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,Caucasian,2.25,Revise and Resubmit,3.0,4.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Erkenntnis2010-01-29T05:00:00.000Z,Erkenntnis,,1/29/2010 12:00am,Faculty (Non-tenure-track position),Male,,6.50,Conditional Acceptance,2.0,5.0,5.0,Accept,5.0,,,,,Conditional Acceptance,,Accept,,
Mind2010-01-29T05:00:00.000Z,Mind,,1/29/2010 12:00am,,Male,Caucasian,12.00,Revise and Resubmit,2.0,4.0,3.0,Accept,7.0,,,,,,Revise and Resubmit,Accept,,
Notre Dame Journal of Formal Logic2010-01-29T05:00:00.000Z,Notre Dame Journal of Formal Logic,,1/29/2010 12:00am,Faculty (Tenured),,,2.00,Conditional Acceptance,2.0,5.0,5.0,Accept,6.0,,,,,Conditional Acceptance,,Accept,,
Nous2010-01-29T05:00:00.000Z,Nous,,1/29/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,Caucasian,2.50,Reject,,1.0,3.0,,,,,,Reject,,,,,
Nous2010-01-29T05:00:00.000Z,Nous,,1/29/2010 12:00am,Graduate Student,Male,,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophers’ Imprint2010-01-29T05:00:00.000Z,Philosophers’ Imprint,,1/29/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,Caucasian,4.50,Reject,2.0,3.0,3.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2010-01-29T05:00:00.000Z,Philosophy and Phenomenological Research,,1/29/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,Caucasian,0.75,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Analysis2010-01-30T05:00:00.000Z,Analysis,,1/30/2010 12:00am,Faculty (Tenured),,,0.25,Reject,,,5.0,,,,,,Reject,,,,,
Nous2010-01-30T05:00:00.000Z,Nous,,1/30/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,white,1.50,Reject,,,4.0,,,,,,Reject,,,,,
Journal of Ethics & Social Philosophy2010-01-31T05:00:00.000Z,Journal of Ethics & Social Philosophy,,1/31/2010 12:00am,Faculty (Tenure-track but non-tenured),,,3.00,Reject,1.0,1.0,4.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-02-01T05:00:00.000Z,Australasian Journal of Philosophy,,2/1/2010 12:00am,Graduate Student,,,2.50,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous2010-02-01T05:00:00.000Z,Nous,,2/1/2010 12:00am,Faculty (Tenure-track but non-tenured),Female,,2.75,Reject,1.0,1.0,4.0,,,,,,Reject,,,,,
Nous2010-02-01T05:00:00.000Z,Nous,,2/1/2010 12:00am,Graduate Student,Male,,3.00,Reject,,,3.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-02-02T05:00:00.000Z,Australasian Journal of Philosophy,,2/2/2010 12:00am,Faculty (Tenure-track but non-tenured),,,2.50,Revise and Resubmit,1.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
British Journal of Aesthetics2010-02-02T05:00:00.000Z,British Journal of Aesthetics,,2/2/2010 12:00am,Graduate Student,Male,,4.50,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Nous2010-02-02T05:00:00.000Z,Nous,,2/2/2010 12:00am,Graduate Student,Male,,1.50,Reject,,,3.0,,,,,,Reject,,,,,
Nous2010-02-02T05:00:00.000Z,Nous,,2/2/2010 12:00am,Faculty (Tenure-track but non-tenured),,,2.00,Reject,1.0,5.0,5.0,,,,,,Reject,,,,,
Philosophers’ Imprint2010-02-02T05:00:00.000Z,Philosophers’ Imprint,,2/2/2010 12:00am,Faculty (Tenured),Male,,0.75,Reject,,,3.0,,,,,,Reject,,,,,
Philosophers’ Imprint2010-02-02T05:00:00.000Z,Philosophers’ Imprint,,2/2/2010 12:00am,Faculty (Tenure-track but non-tenured),,,3.00,Revise and Resubmit,1.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Quarterly2010-02-02T05:00:00.000Z,Philosophical Quarterly,,2/2/2010 12:00am,Graduate Student,Male,,2.00,Reject,2.0,4.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2010-02-02T05:00:00.000Z,Philosophical Studies,,2/2/2010 12:00am,Other,,,11.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
Analysis2010-02-03T05:00:00.000Z,Analysis,,2/3/2010 12:00am,Graduate Student,Male,Asian American,0.25,Reject,,,3.0,,,,,,Reject,,,,,
Linguistics and Philosophy2010-02-03T05:00:00.000Z,Linguistics and Philosophy,,2/3/2010 12:00am,Graduate Student,Male,,6.00,Conditional Acceptance,3.0,4.0,5.0,Accept,,,,,,Conditional Acceptance,,Accept,,
Journal of Philosophy2010-02-04T05:00:00.000Z,Journal of Philosophy,,2/4/2010 12:00am,Faculty (Tenured),Male,,8.00,Reject,,,2.0,Reject,,,,,Reject,,,,,
Philosophers’ Imprint2010-02-04T05:00:00.000Z,Philosophers’ Imprint,,2/4/2010 12:00am,Faculty (Non-tenure-track position),,,1.00,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophical Logic2010-02-05T05:00:00.000Z,Journal of Philosophical Logic,,2/5/2010 12:00am,Faculty (Tenured),Male,,4.00,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Mind2010-02-07T05:00:00.000Z,Mind,,2/7/2010 12:00am,,Male,White,2.00,Reject,,1.0,2.0,,,,,,Reject,,,,,
Analysis2010-02-08T05:00:00.000Z,Analysis,,2/8/2010 12:00am,Graduate Student,Male,white,0.50,Reject,,1.0,1.0,,,,,,Reject,,,,,
Ethical Theory and Moral Practice2010-02-08T05:00:00.000Z,Ethical Theory and Moral Practice,,2/8/2010 12:00am,Graduate Student,Male,White,3.00,Revise and Resubmit,2.0,4.0,4.0,Withdraw,,,,,,,Revise and Resubmit,,,Withdraw
Philosophical Studies2010-02-09T05:00:00.000Z,Philosophical Studies,,2/9/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,8.50,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Social Theory and Practice2010-02-09T05:00:00.000Z,Social Theory and Practice,,2/9/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,Latino,2.25,Revise and Resubmit,2.0,3.0,4.0,,,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy2010-02-10T05:00:00.000Z,Australasian Journal of Philosophy,,2/10/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,4.00,Revise and Resubmit,2.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Quarterly2010-02-11T05:00:00.000Z,Philosophical Quarterly,,2/11/2010 12:00am,Graduate Student,Male,,1.00,Reject,,,2.0,,,,,,Reject,,,,,
Philosophical Studies2010-02-11T05:00:00.000Z,Philosophical Studies,,2/11/2010 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Analysis2010-02-13T05:00:00.000Z,Analysis,,2/13/2010 12:00am,Graduate Student,Male,,0.25,Reject,,,5.0,,,,,,Reject,,,,,
Nous2010-02-14T05:00:00.000Z,Nous,,2/14/2010 12:00am,Graduate Student,Male,white,2.00,Reject,,,5.0,,,,,,Reject,,,,,
Journal of Ethics & Social Philosophy2010-02-15T05:00:00.000Z,Journal of Ethics & Social Philosophy,,2/15/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.00,Reject,3.0,4.0,4.0,,,,,,Reject,,,,,
Philosophical Explorations2010-02-15T05:00:00.000Z,Philosophical Explorations,,2/15/2010 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Accept,2.0,4.0,5.0,,,,,Accept,,,,,,
Philosophical Psychology2010-02-15T05:00:00.000Z,Philosophical Psychology,,2/15/2010 12:00am,Graduate Student,,,1.50,Revise and Resubmit,2.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Nous2010-02-17T05:00:00.000Z,Nous,,2/17/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,3.00,Reject,,,3.0,,,,,,Reject,,,,,
American Philosophical Quarterly2010-02-18T05:00:00.000Z,American Philosophical Quarterly,,2/18/2010 12:00am,Graduate Student,Male,,0.30,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-02-18T05:00:00.000Z,Australasian Journal of Philosophy,,2/18/2010 12:00am,Faculty (Tenure-track but non-tenured),Female,,2.00,Revise and Resubmit,1.0,3.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
Mind and Language2010-02-18T05:00:00.000Z,Mind and Language,,2/18/2010 12:00am,Faculty (Tenure-track but non-tenured),,,1.00,Reject,,,1.0,,,,,,Reject,,,,,
Ethical Theory and Moral Practice2010-02-19T05:00:00.000Z,Ethical Theory and Moral Practice,,2/19/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,6.50,Reject,1.0,5.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2010-02-19T05:00:00.000Z,Philosophical Studies,,2/19/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,9.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Dialectica2010-02-20T05:00:00.000Z,Dialectica,,2/20/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,,1.0,3.0,,,,,,Reject,,,,,
Dialectica2010-02-20T05:00:00.000Z,Dialectica,,2/20/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Analysis2010-02-21T05:00:00.000Z,Analysis,,2/21/2010 12:00am,Graduate Student,Male,,0.50,Reject,,,5.0,,,,,,Reject,,,,,
Journal of the History of Philosophy2010-02-21T05:00:00.000Z,Journal of the History of Philosophy,,2/21/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,0.33,Reject,,,3.0,,,,,,Reject,,,,,
Journal of the History of Philosophy2010-02-22T05:00:00.000Z,Journal of the History of Philosophy,,2/22/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,white,0.50,Reject,,,4.0,,,,,,Reject,,,,,
Linguistics and Philosophy2010-02-22T05:00:00.000Z,Linguistics and Philosophy,,2/22/2010 12:00am,Graduate Student,,,,Accept,3.0,,3.0,Accept,,,,Accept,,,,Accept,,
Oxford Journal of Legal Studies2010-02-22T05:00:00.000Z,Oxford Journal of Legal Studies,,2/22/2010 12:00am,Graduate Student,Male,,1.50,Conditional Acceptance,1.0,3.0,5.0,Accept,,,,,,Conditional Acceptance,,Accept,,
Political Theory2010-02-22T05:00:00.000Z,Political Theory,,2/22/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.00,Revise and Resubmit,2.0,5.0,5.0,Accept,9.0,,,,,,Revise and Resubmit,Accept,,
Dao2010-02-25T05:00:00.000Z,Dao,,2/25/2010 12:00am,Faculty (Tenure-track but non-tenured),,,,Revise and Resubmit,2.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Ethics2010-02-25T05:00:00.000Z,Ethics,,2/25/2010 12:00am,Graduate Student,Male,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophers’ Imprint2010-02-25T05:00:00.000Z,Philosophers’ Imprint,,2/25/2010 12:00am,Graduate Student,Male,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Studies2010-02-26T05:00:00.000Z,Philosophical Studies,,2/26/2010 12:00am,Graduate Student,Male,,1.20,Reject,,,2.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-03-01T05:00:00.000Z,Philosophical Quarterly,,3/1/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,white,3.00,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
Philosophical Studies2010-03-01T05:00:00.000Z,Philosophical Studies,,3/1/2010 12:00am,Other,Male,,3.85,Conditional Acceptance,1.0,4.0,4.0,Accept,55.0,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies2010-03-01T05:00:00.000Z,Philosophical Studies,,3/1/2010 12:00am,Faculty (Non-tenure-track position),Male,,5.00,Accept,1.0,4.0,4.0,,,,,Accept,,,,,,
Canadian Journal of Philosophy2010-03-02T05:00:00.000Z,Canadian Journal of Philosophy,,3/2/2010 12:00am,Faculty (Tenure-track but non-tenured),,,4.00,Revise and Resubmit,2.0,3.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
Journal of Ethics & Social Philosophy2010-03-02T05:00:00.000Z,Journal of Ethics & Social Philosophy,,3/2/2010 12:00am,Faculty (Non-tenure-track position),Male,biracial,0.50,Conditional Acceptance,1.0,4.0,5.0,Accept,,,,,,Conditional Acceptance,,Accept,,
Philo2010-03-02T05:00:00.000Z,Philo,,3/2/2010 12:00am,Graduate Student,Male,,2.00,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Journal of Value Inquiry2010-03-03T05:00:00.000Z,Journal of Value Inquiry,,3/3/2010 12:00am,Faculty (Tenure-track but non-tenured),Female,,6.00,Conditional Acceptance,3.0,4.0,4.0,Accept,,,,,,Conditional Acceptance,,Accept,,
Analysis2010-03-04T05:00:00.000Z,Analysis,,3/4/2010 12:00am,Graduate Student,Male,,0.50,Reject,,,4.0,,,,,,Reject,,,,,
Nous2010-03-04T05:00:00.000Z,Nous,,3/4/2010 12:00am,Faculty (Tenured),Male,,2.00,Reject,1.0,2.0,5.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-03-05T05:00:00.000Z,Australasian Journal of Philosophy,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Female,,9.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-03-05T05:00:00.000Z,Australasian Journal of Philosophy,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,3.0,1.0,,,,,,,Reject,,,,,
Analysis2010-03-05T05:00:00.000Z,Analysis,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,0.30,Reject,,,,,,,,,Reject,,,,,
Analysis2010-03-05T05:00:00.000Z,Analysis,,3/5/2010 12:00am,Graduate Student,Male,white,0.50,Reject,,,5.0,,,,,,Reject,,,,,
Analysis2010-03-05T05:00:00.000Z,Analysis,,3/5/2010 12:00am,Faculty (Tenured),Female,Caucasian,0.50,Accept,,,5.0,,,,,Accept,,,,,,
Dialectica2010-03-05T05:00:00.000Z,Dialectica,,3/5/2010 12:00am,Graduate Student,Male,,5.00,Revise and Resubmit,2.0,4.0,2.0,Reject,,,,,,,Revise and Resubmit,,,
Dialectica2010-03-05T05:00:00.000Z,Dialectica,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Female,,8.00,Reject,2.0,1.0,2.0,,,,,,Reject,,,,,
Dialectica2010-03-05T05:00:00.000Z,Dialectica,,3/5/2010 12:00am,Faculty (Tenured),Female,Caucasian,4.00,Revise and Resubmit,2.0,1.0,1.0,Accept,8.0,,,,,,Revise and Resubmit,Accept,,
Disputatio2010-03-05T05:00:00.000Z,Disputatio,,3/5/2010 12:00am,Graduate Student,Female,,,,,,5.0,Accept,,,,,,,,Accept,,
European Journal of Philosophy2010-03-05T05:00:00.000Z,European Journal of Philosophy,,3/5/2010 12:00am,Graduate Student,Female,White British,1.60,Accept,1.0,3.0,5.0,,,,,Accept,,,,,,
Journal of Philosophy2010-03-05T05:00:00.000Z,Journal of Philosophy,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,3.50,Reject,,,,,,,,,Reject,,,,,
Mind2010-03-05T05:00:00.000Z,Mind,,3/5/2010 12:00am,,Female,,4.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Mind2010-03-05T05:00:00.000Z,Mind,,3/5/2010 12:00am,,Male,,5.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Mind2010-03-05T05:00:00.000Z,Mind,,3/5/2010 12:00am,,Male,,,Reject,1.0,3.0,,,,,,,Reject,,,,,
Nous2010-03-05T05:00:00.000Z,Nous,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophers’ Imprint2010-03-05T05:00:00.000Z,Philosophers’ Imprint,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophical Quarterly2010-03-05T05:00:00.000Z,Philosophical Quarterly,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Female,,5.00,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-03-05T05:00:00.000Z,Philosophical Quarterly,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.50,Reject,2.0,,2.0,,,,,,Reject,,,,,
Philosophical Review2010-03-05T05:00:00.000Z,Philosophical Review,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Female,,6.00,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Philosophical Review2010-03-05T05:00:00.000Z,Philosophical Review,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,8.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophical Studies2010-03-05T05:00:00.000Z,Philosophical Studies,,3/5/2010 12:00am,Graduate Student,Male,Caucasian,5.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Philosophical Studies2010-03-05T05:00:00.000Z,Philosophical Studies,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,4.50,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2010-03-05T05:00:00.000Z,Philosophy and Phenomenological Research,,3/5/2010 12:00am,Faculty (Non-tenure-track position),Male,,3.00,Accept,1.0,4.0,5.0,,,,,Accept,,,,,,
Analysis2010-03-06T05:00:00.000Z,Analysis,,3/6/2010 12:00am,Faculty (Non-tenure-track position),Male,,0.00,Accept,,,4.0,,,7.0,,Accept,,,,,,
Journal of Political Philosophy2010-03-06T05:00:00.000Z,Journal of Political Philosophy,,3/6/2010 12:00am,Graduate Student,Female,white,0.10,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Political Philosophy2010-03-06T05:00:00.000Z,Journal of Political Philosophy,,3/6/2010 12:00am,Graduate Student,Female,white,0.10,Reject,,,3.0,,,,,,Reject,,,,,
Mind2010-03-06T05:00:00.000Z,Mind,,3/6/2010 12:00am,,Male,,2.00,Reject,1.0,4.0,2.0,,,,,,Reject,,,,,
Nous2010-03-06T05:00:00.000Z,Nous,,3/6/2010 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,,,1.0,,,,,,Reject,,,,,
Religious Studies2010-03-06T05:00:00.000Z,Religious Studies,,3/6/2010 12:00am,Faculty (Non-tenure-track position),Male,,0.00,Accept,1.0,4.0,4.0,,13.0,,,Accept,,,,,,
Journal of Ethics2010-03-06T05:00:00.000Z,Journal of Ethics,,3/6/2010 12:00am,Graduate Student,Male,,0.50,Reject,,,2.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-03-07T05:00:00.000Z,Australasian Journal of Philosophy,,3/7/2010 12:00am,Graduate Student,Male,,4.50,Revise and Resubmit,2.0,3.0,3.0,Reject,,,,,,,Revise and Resubmit,,,
Nous2010-03-09T05:00:00.000Z,Nous,,3/9/2010 12:00am,Faculty (Non-tenure-track position),Female,,2.50,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Ethics & Social Philosophy2010-03-10T05:00:00.000Z,Journal of Ethics & Social Philosophy,,3/10/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,2.00,Reject,3.0,3.0,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-03-12T05:00:00.000Z,Philosophical Quarterly,,3/12/2010 12:00am,Graduate Student,Male,,3.00,Reject,2.0,4.0,5.0,,,,,,Reject,,,,,
Apeiron2010-03-13T05:00:00.000Z,Apeiron,,3/13/2010 12:00am,Faculty (Tenured),Male,white,14.00,Reject,,,1.0,,,,,,Reject,,,,,
British Journal for the Philosophy of Science2010-03-14T05:00:00.000Z,British Journal for the Philosophy of Science,,3/14/2010 12:00am,Graduate Student,Male,,2.00,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2010-03-15T04:00:00.000Z,Philosophical Studies,,3/15/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,2.00,Reject,,,2.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2010-03-15T05:00:00.000Z,Canadian Journal of Philosophy,,3/15/2010 1:00am,Faculty (Tenured),Male,White,13.00,Revise and Resubmit,2.0,2.0,1.0,Reject,,,,,,,Revise and Resubmit,,,
Philosophical Studies2010-03-16T04:00:00.000Z,Philosophical Studies,,3/16/2010 12:00am,Graduate Student,Male,,5.00,Reject,,,2.0,,,,,,Reject,,,,,
Philosophical Review2010-03-17T04:00:00.000Z,Philosophical Review,,3/17/2010 12:00am,Graduate Student,Male,Asian American,2.00,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
Social Theory and Practice2010-03-17T04:00:00.000Z,Social Theory and Practice,,3/17/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,2.00,Revise and Resubmit,2.0,3.0,5.0,Accept,6.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Explorations2010-03-19T04:00:00.000Z,Philosophical Explorations,,3/19/2010 12:00am,Graduate Student,Male,White,4.00,Conditional Acceptance,2.0,1.0,5.0,Accept,8.0,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies2010-03-19T04:00:00.000Z,Philosophical Studies,,3/19/2010 12:00am,Graduate Student,Male,White,5.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Analysis2010-03-20T04:00:00.000Z,Analysis,,3/20/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.50,Reject,,,,,,,,,Reject,,,,,
Philosophers’ Imprint2010-03-20T04:00:00.000Z,Philosophers’ Imprint,,3/20/2010 12:00am,Graduate Student,Male,,0.75,Reject,,,,,,,,,Reject,,,,,
Journal of the History of Philosophy2010-03-22T04:00:00.000Z,Journal of the History of Philosophy,,3/22/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,White,1.30,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Analysis2010-03-23T04:00:00.000Z,Analysis,,3/23/2010 12:00am,Graduate Student,Male,,0.25,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Political Philosophy2010-03-24T04:00:00.000Z,Journal of Political Philosophy,,3/24/2010 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,,1.0,1.0,,,,,,Reject,,,,,
Philosophical Quarterly2010-03-24T04:00:00.000Z,Philosophical Quarterly,,3/24/2010 12:00am,Faculty (Non-tenure-track position),Female,,3.00,Reject,,,2.0,,,,,,Reject,,,,,
Journal of Political Philosophy2010-03-25T04:00:00.000Z,Journal of Political Philosophy,,3/25/2010 12:00am,Other,,,2.50,Reject,2.0,3.0,3.0,,,,,,Reject,,,,,
Journal of Political Philosophy2010-03-25T04:00:00.000Z,Journal of Political Philosophy,,3/25/2010 12:00am,Faculty (Non-tenure-track position),Female,,1.00,Revise and Resubmit,2.0,4.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
"""Politics, Philosophy, and Economics""2010-03-25T04:00:00.000Z","""Politics, Philosophy, and Economics""",,3/25/2010 12:00am,Faculty (Non-tenure-track position),Female,,0.50,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2010-03-26T04:00:00.000Z,Australasian Journal of Philosophy,,3/26/2010 12:00am,Faculty (Tenured),Male,Continental European,1.00,Reject,1.0,2.0,4.0,,,,,,Reject,,,,,
Analysis2010-03-26T04:00:00.000Z,Analysis,,3/26/2010 12:00am,Faculty (Tenured),Male,Continental European,0.50,Reject,,,2.0,,,,,,Reject,,,,,
British Journal for the History of Philosophy2010-03-26T04:00:00.000Z,British Journal for the History of Philosophy,,3/26/2010 12:00am,Faculty (Tenure-track but non-tenured),Female,,3.00,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Educational Theory2010-03-26T04:00:00.000Z,Educational Theory,,3/26/2010 12:00am,Faculty (Non-tenure-track position),Male,Dutch,3.00,Conditional Acceptance,2.0,3.0,5.0,Accept,2.0,,,,,Conditional Acceptance,,Accept,,
International Journal of Philosophical Studies2010-03-26T04:00:00.000Z,International Journal of Philosophical Studies,,3/26/2010 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Reject,,1.0,2.0,,,,,,Reject,,,,,
Journal of the History of Philosophy2010-03-26T04:00:00.000Z,Journal of the History of Philosophy,,3/26/2010 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Reject,,,1.0,,,,,,Reject,,,,,
Philosophical Papers2010-03-26T04:00:00.000Z,Philosophical Papers,,3/26/2010 12:00am,Faculty (Tenure-track but non-tenured),Male,caucasian,2.00,Conditional Acceptance,2.0,5.0,5.0,Accept,3.0,,,,,Conditional Acceptance,,Accept,,
